Ligand,Binding Affinity,rmsd/ub, rmsd/lb
model_01_Mol_14_structure_uff_E=1711.95,-7.4,0.0,0.0
model_01_Mol_14_structure_uff_E=1711.95,-7.3,5.325,2.521
model_01_Mol_14_structure_uff_E=1711.95,-7.2,6.912,1.411
model_01_Mol_14_structure_uff_E=1711.95,-6.9,6.916,2.486
model_01_Mol_14_structure_uff_E=1711.95,-6.6,2.024,1.367
model_01_Mol_14_structure_uff_E=1711.95,-6.3,6.551,3.684
model_01_Mol_14_structure_uff_E=1711.95,-6.1,16.621,14.266
model_01_Mol_14_structure_uff_E=1711.95,-6.1,5.958,3.836
model_01_Mol_14_structure_uff_E=1711.95,-6.0,16.103,13.264
model_01_Mol_15_structure_uff_E=1740.64,-6.8,0.0,0.0
model_01_Mol_15_structure_uff_E=1740.64,-6.6,4.752,2.33
model_01_Mol_15_structure_uff_E=1740.64,-6.1,3.103,2.274
model_01_Mol_15_structure_uff_E=1740.64,-6.1,4.778,2.135
model_01_Mol_15_structure_uff_E=1740.64,-6.0,6.809,2.478
model_01_Mol_15_structure_uff_E=1740.64,-5.9,7.077,3.93
model_01_Mol_15_structure_uff_E=1740.64,-5.9,11.523,7.808
model_01_Mol_15_structure_uff_E=1740.64,-5.8,21.147,19.079
model_01_Mol_15_structure_uff_E=1740.64,-5.8,16.369,13.52
model_01_Mol_17_structure_uff_E=1774.78,-7.8,0.0,0.0
model_01_Mol_17_structure_uff_E=1774.78,-7.7,3.706,2.472
model_01_Mol_17_structure_uff_E=1774.78,-7.6,6.393,2.035
model_01_Mol_17_structure_uff_E=1774.78,-7.1,5.326,3.489
model_01_Mol_17_structure_uff_E=1774.78,-7.1,4.658,3.233
model_01_Mol_17_structure_uff_E=1774.78,-7.0,5.809,2.757
model_01_Mol_17_structure_uff_E=1774.78,-7.0,4.612,2.302
model_01_Mol_17_structure_uff_E=1774.78,-7.0,3.073,2.361
model_01_Mol_17_structure_uff_E=1774.78,-6.9,5.581,2.622
model_01_Mol_18_structure_uff_E=1732.71,-8.1,0.0,0.0
model_01_Mol_18_structure_uff_E=1732.71,-8.0,7.095,2.732
model_01_Mol_18_structure_uff_E=1732.71,-7.9,6.225,3.674
