Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-8.1,0.0,0.0
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-8.0,6.956,2.742
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-8.0,5.022,3.247
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-7.9,6.076,1.63
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-7.9,5.485,1.379
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-7.7,14.439,11.836
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-7.5,7.246,3.212
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-7.4,33.597,32.208
1o6y_water_and_hetatem_removed_Mol_5_structure_uff_E=1744.71,-7.4,22.522,20.479
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.6,0.0,0.0
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.6,4.899,2.779
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.5,5.055,1.793
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.3,5.255,2.806
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.1,4.999,1.449
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.1,6.652,2.833
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.1,5.287,1.334
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.0,5.283,1.535
1o6y_water_and_hetatem_removed_Mol_6_structure_uff_E=2934.68,-7.0,4.982,1.427
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.9,0.0,0.0
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.9,8.176,3.284
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.8,6.331,4.328
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.6,22.57,19.147
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.5,4.876,3.62
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.4,7.544,4.747
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.3,6.056,4.241
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.2,9.117,2.985
1o6y_water_and_hetatem_removed_Mol_14_structure_uff_E=1711.95,-6.2,34.35,32.454
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-6.8,0.0,0.0
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-6.6,4.468,2.872
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-6.3,4.232,2.989
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-6.3,5.687,1.911
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-6.2,2.326,1.669
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-6.0,4.517,2.445
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-5.9,9.008,4.442
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-5.9,3.969,2.723
1o6y_water_and_hetatem_removed_Mol_15_structure_uff_E=1740.64,-5.9,8.46,4.125
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.9,0.0,0.0
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.8,1.503,0.99
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.6,6.987,3.252
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.4,2.518,1.979
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.3,8.643,3.623
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.2,5.203,3.335
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.1,21.56,19.425
1o6y_water_and_hetatem_removed_Mol_17_structure_uff_E=1774.78,-7.0,5.024,3.318
