Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,n1ccc(cc1)c1nc(Nc2n[nH]c(c2)C2CC2)c2c(n1)cccc2,C19H16N6,328.37,25,21,0.16,4,4,2,96.92,79.38,2.31,3.21,3.97,2.45,3.52,3.09,-4.26,1.82E-02,5.55E-05,Moderately soluble,-4.55,9.27E-03,2.82E-05,Moderately soluble,-7.45,1.16E-05,3.52E-08,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-6.02,0,0,0,0,0,0.55,0,0,0,2.95
Molecule 2,Fc1ccc(cc1)c1nc(Nc2n[nH]cc2)c2c(n1)cccc2,C17H12FN5,305.31,23,21,0,3,4,2,86.62,66.49,2,3.8,4.32,2.91,3.56,3.32,-4.6,7.59E-03,2.49E-05,Moderately soluble,-4.89,3.93E-03,1.29E-05,Moderately soluble,-7.52,9.26E-06,3.03E-08,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.46,0,0,0,0,0,0.55,0,0,1,2.58
Molecule 3,Fc1ccc(cc1)c1nc(Nc2n[nH]c(c2)C2CC2)c2c(n1)cccc2,C20H16FN5,345.37,26,21,0.15,4,4,2,99.09,66.49,2.5,4.38,5.14,3.6,4.49,4.02,-5.07,2.91E-03,8.43E-06,Moderately soluble,-5.49,1.11E-03,3.22E-06,Moderately soluble,-8.09,2.78E-06,8.05E-09,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-5.3,0,0,0,0,0,0.55,0,0,1,2.95
Molecule 4,c1ccc(cc1)c1nc(Nc2n[nH]c(c2)C2CC2)c2c(n1)cccc2,C20H17N5,327.38,25,21,0.15,4,3,2,99.13,66.49,2.42,4.28,4.58,3.49,4.09,3.77,-4.92,3.90E-03,1.19E-05,Moderately soluble,-5.39,1.34E-03,4.08E-06,Moderately soluble,-7.83,4.89E-06,1.49E-08,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.26,0,0,0,0,0,0.55,0,0,1,2.97
Molecule 5,C1CCC(CC1)Nc1nc(Nc2n[nH]c(c2)C2CC2)c2c(n1)cccc2,C20H24N6,348.44,26,15,0.45,5,3,3,104.92,78.52,2.74,4.75,4.46,3.31,3.39,3.73,-5.09,2.83E-03,8.13E-06,Moderately soluble,-6.13,2.59E-04,7.43E-07,Poorly soluble,-6.78,5.73E-05,1.64E-07,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-5.05,0,0,0,0,0,0.55,0,0,1,3.29
Molecule 6,c1ccc2c(c1)nc(nc2Nc1n[nH]c(c1)C1CC1)NCC1CC1,C18H20N6,320.39,24,15,0.39,6,3,3,95.31,78.52,2.46,3.68,3.48,2.85,3.08,3.11,-4.21,1.97E-02,6.15E-05,Moderately soluble,-5.02,3.07E-03,9.58E-06,Moderately soluble,-6.37,1.37E-04,4.28E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.64,0,0,0,0,0,0.55,0,0,1,3.09
Molecule 7,Fc1ccc(cc1)c1nccc(n1)Nc1n[nH]c(c1)C1CC1,C16H14FN5,295.31,22,17,0.19,4,4,2,81.58,66.49,1.84,3.04,3.98,2.59,3.52,2.99,-3.89,3.77E-02,1.28E-04,Soluble,-4.1,2.33E-02,7.91E-05,Moderately soluble,-6.45,1.06E-04,3.58E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.94,0,0,0,0,0,0.55,0,0,0,2.75
Molecule 8,NC(=O)c1cccc(c1)c1nccc(n1)Nc1n[nH]c(c1)C1CC1,C17H16N6O,320.35,24,17,0.18,5,4,3,89.72,109.58,1.46,1.82,2.52,1.43,2.27,1.9,-3.17,2.18E-01,6.81E-04,Soluble,-3.74,5.82E-02,1.82E-04,Soluble,-5.74,5.78E-04,1.80E-06,Moderately soluble,High,No,Yes,Yes,No,No,Yes,Yes,-6.96,0,0,0,0,0,0.55,0,0,0,2.88
Molecule 9,CS(=O)(=O)Nc1cccc(c1)c1nccc(n1)Nc1n[nH]c(c1)C1CC1,C17H18N6O2S,370.43,26,17,0.24,6,5,3,99.89,121.04,1.41,1.91,3.69,0.97,1.62,1.92,-3.43,1.38E-01,3.73E-04,Soluble,-4.08,3.12E-02,8.41E-05,Moderately soluble,-6.49,1.21E-04,3.27E-07,Poorly soluble,High,No,Yes,Yes,No,No,Yes,Yes,-7.2,0,0,0,0,0,0.55,0,0,1,3.11
Molecule 10,CS(=O)(=O)c1cccc(c1)c1nccc(n1)Nc1n[nH]c(c1)C1CC1,C17H17N5O2S,355.41,25,17,0.24,5,5,2,94.72,109.01,1.48,2.18,3.91,1.76,2.4,2.35,-3.59,9.13E-02,2.57E-04,Soluble,-4.1,2.81E-02,7.90E-05,Moderately soluble,-6.45,1.28E-04,3.59E-07,Poorly soluble,High,No,Yes,Yes,Yes,No,No,Yes,-6.92,0,0,0,0,0,0.55,0,0,1,3.11
Molecule 11,CS(=O)(=O)NCc1ccc(cc1)c1nccc(n1)Nc1n[nH]c(c1)C1CC1,C18H20N6O2S,384.46,27,17,0.28,7,6,3,103.16,121.04,1.43,1.85,3.4,0.94,2,1.93,-3.39,1.56E-01,4.05E-04,Soluble,-4.01,3.73E-02,9.71E-05,Moderately soluble,-6.88,5.07E-05,1.32E-07,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-7.33,0,0,0,0,0,0.55,0,0,1,3.19
Molecule 12,N#Cc1cccc(c1)c1nccc(n1)Nc1n[nH]c(c1)C1CC1,C17H14N6,302.33,23,17,0.18,4,4,2,86.34,90.28,1.71,2.66,3.3,1.55,3.1,2.47,-3.67,6.42E-02,2.12E-04,Soluble,-4.21,1.88E-02,6.20E-05,Moderately soluble,-6.25,1.70E-04,5.62E-07,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-6.26,0,0,0,0,0,0.55,0,0,0,2.88
